Model,Resampling technique,Lambda,Polynomial,Validation error,Test error
Ridge,Bootstrap,1e-08,4,3406.4439240225734,643.3525646526414
Ridge,Kfold,1e-07,7,59.840949639300405,435.8201007755436
Ridge,Average,0.001,8,1752.8355702809658,416.3595613886118
Lasso,Bootstrap,0.03162277660168379,6,3911.25475167053,556.1777344267934
Lasso,Kfold,0.03162277660168379,14,88.45399961344928,551.8561385858217
Lasso,Average,0.03162277660168379,6,2037.504900279508,556.1777344267934
OLS,Bootstrap,0.0,4,3436.7256382551514,643.3525705493452
OLS,Kfold,0.0,7,59.346483164807594,454.4719370525256
OLS,Average,0.0,4,1790.3314911906991,643.3525705493452
