Model,Resampling technique,Lambda,Polynomial,Validation error,Test error
Ridge,Bootstrap,0.001,11,0.17206611263084912,0.04524603153280499
Ridge,Kfold,0.01,1,0.046523083374010794,0.06325072421572488
Ridge,Average,0.001,11,0.11351815458917291,0.04524603153280499
Lasso,Bootstrap,0.13894954943731375,3,0.13614891333969475,0.11307677002719761
Lasso,Kfold,0.03162277660168379,10,0.049443914933521856,0.06522181415014346
Lasso,Average,0.08483428982440722,12,0.10972672334152572,0.08315763170582849
OLS,Bootstrap,0.0,4,0.18263580264491638,0.046745644812323815
OLS,Kfold,0.0,1,0.04841679533355045,0.06325053489499062
OLS,Average,0.0,4,0.11680140955738624,0.046745644812323815
